Упакованное внимание, RTX 5090 (170 SM), 16 слоёв, KV fp8; мкс на слой

Сегмент одной последовательности
  строк |  старт |            MMA |    упакованное |     P=1 |     P=2 |     P=3 |     P=4 |     P=5 |     P=6 |     P=7 |     P=8 |     P=9 |    P=10 |    P=11 |    P=12 |    P=13 |    P=14 |    P=15 |    P=16 |    P=17 |    P=18 |    P=19 |    P=20 |    P=21 |    P=22 |    P=23 |    P=24 |    P=25 |    P=26 |    P=27 |    P=28 |    P=29 |    P=30 |    P=31 |    P=32 |    P=33 |    P=34 |    P=35 |    P=36 |    P=37 |    P=38 |    P=39 |    P=40 |    P=41 |    P=42 |    P=43 |    P=44 |    P=45 |    P=46 |    P=47 |    P=48
     48 |  16384 |            NaN |   154.2 (P=34) |   945.1 |   475.5 |   320.5 |   245.0 |   199.8 |   167.8 |   147.5 |   132.8 |   197.7 |   203.5 |   190.8 |   177.9 |   164.6 |   158.2 |   152.4 |   144.6 |   139.3 |   139.2 |   176.7 |   167.1 |   167.0 |   158.9 |   158.9 |   149.3 |   149.6 |   158.2 |   158.6 |   158.5 |   165.0 |   164.6 |   164.8 |   164.8 |   154.0 |   154.6 |   155.0 |   155.1 |   167.6 |   167.8 |   168.2 |   168.2 |   168.3 |   169.0 |   170.9 |   170.6 |   171.0 |   171.1 |   171.2 |   171.4
     64 |  16384 |            NaN |   184.6 (P=28) |   946.6 |   476.3 |   321.1 |   245.9 |   200.7 |   169.2 |   149.0 |   230.8 |   228.5 |   207.8 |   194.4 |   180.5 |   167.4 |   161.3 |   175.3 |   211.4 |   202.5 |   192.6 |   182.8 |   172.5 |   172.8 |   181.8 |   181.9 |   195.5 |   195.7 |   183.5 |   183.5 |   184.1 |   189.9 |   189.8 |   189.8 |   189.7 |   192.3 |   192.7 |   192.7 |   193.1 |   201.7 |   201.6 |   202.1 |   202.3 |   202.5 |   202.8 |   205.3 |   205.3 |   202.2 |   205.2 |   205.8 |   207.2
     96 |  16384 |            NaN |   275.3 (P=21) |   949.2 |   478.0 |   325.7 |   247.9 |   375.4 |   331.1 |   287.8 |   259.4 |   233.1 |   301.5 |   288.2 |   267.3 |   247.6 |   238.0 |   250.3 |   280.4 |   269.0 |   255.8 |   243.2 |   274.9 |   275.2 |   262.5 |   262.9 |   247.5 |   248.1 |   270.9 |   270.2 |   270.2 |   272.1 |   271.8 |   272.3 |   271.9 |   271.0 |   275.3 |   273.6 |   275.1 |   282.3 |   283.6 |   288.6 |   290.9 |   293.0 |   295.7 |   315.8 |   320.9 |   324.0 |   325.9 |   325.7 |   329.7
    128 |  16384 |            NaN |   317.1 (P=14) |   949.4 |   479.6 |   338.1 |   490.1 |   397.9 |   334.8 |   302.7 |   365.0 |   343.4 |   328.4 |   340.1 |   368.1 |   345.9 |   314.0 |   327.5 |   352.1 |   347.3 |   334.2 |   364.5 |   341.6 |   352.7 |   352.4 |   342.5 |   344.5 |   345.7 |   355.8 |   357.9 |   372.8 |   378.6 |   367.5 |   370.8 |   372.7 |   389.1 |   391.3 |   393.3 |   395.3 |   395.8 |   397.8 |   400.0 |   403.6 |   403.9 |   408.7 |   424.7 |   426.5 |   430.2 |   432.7 |   446.7 |   442.1
    192 |  16384 |            NaN |   508.9 (P=10) |   983.6 |   508.3 |   671.4 |   492.9 |   591.1 |   498.9 |   437.9 |   509.0 |   477.8 |   512.9 |   488.1 |   507.3 |   503.7 |   489.6 |   483.8 |   493.6 |   476.5 |   509.1 |   502.4 |   510.9 |   517.2 |   520.5 |   522.9 |   525.6 |   519.7 |   550.4 |   564.8 |   575.8 |   571.0 |   572.2 |   573.7 |   574.9 |   586.3 |   586.7 |   599.3 |   590.1 |   615.8 |   611.8 |   611.2 |   614.3 |   611.2 |   615.3 |   631.8 |   647.1 |   650.2 |   651.2 |   650.8 |   660.4
    256 |  16384 |            NaN |    594.3 (P=7) |   979.3 |   974.9 |   662.5 |   743.1 |   612.4 |   673.2 |   593.7 |   639.6 |   678.9 |   634.9 |   662.5 |   641.6 |   671.5 |   648.7 |   659.9 |   665.7 |   694.9 |   676.9 |   695.3 |   695.2 |   717.2 |   739.7 |   700.7 |   708.5 |   708.4 |   743.1 |   729.4 |   729.2 |   763.9 |   770.3 |   807.5 |   766.3 |   777.7 |   839.9 |   780.9 |   780.8 |   844.5 |   855.9 |   844.1 |   829.3 |   831.6 |   836.0 |   840.6 |   865.5 |   876.7 |   875.8 |   878.2 |   888.5
    384 |  16384 |            NaN |   1000.0 (P=5) |   989.0 |  1008.7 |  1009.3 |  1009.8 |  1001.7 |  1003.0 |   903.1 |   930.0 |   954.4 |   971.5 |   974.1 |   996.6 |   966.6 |   987.3 |  1002.2 |   986.1 |  1009.5 |  1031.3 |  1047.1 |  1053.4 |  1034.8 |  1083.3 |  1085.3 |  1104.6 |  1104.6 |  1124.2 |  1133.8 |  1130.1 |  1155.1 |  1159.3 |  1154.0 |  1155.1 |  1195.6 |  1193.6 |  1196.3 |  1199.8 |  1212.8 |  1234.3 |  1231.8 |  1235.1 |  1238.7 |  1250.9 |  1260.7 |  1298.3 |  1301.2 |  1303.6 |  1309.4 |  1324.4
    512 |  16384 |            NaN |   1268.7 (P=4) |  1965.5 |  1489.0 |  1339.3 |  1269.1 |  1234.3 |  1217.5 |  1205.9 |  1289.4 |  1283.6 |  1281.8 |  1301.6 |  1307.1 |  1310.4 |  1318.3 |  1329.0 |  1334.0 |  1366.4 |  1367.4 |  1395.1 |  1401.4 |  1399.2 |  1432.0 |  1431.6 |  1458.2 |  1459.5 |  1474.3 |  1489.3 |  1485.4 |  1513.2 |  1520.0 |  1521.2 |  1525.2 |  1588.5 |  1585.4 |  1584.1 |  1587.8 |  1603.7 |  1648.8 |  1646.5 |  1654.6 |  1661.0 |  1674.8 |  1673.0 |  1735.2 |  1740.9 |  1738.0 |  1743.2 |  1753.9
     32 |  30000 |            NaN |   194.0 (P=64) |  1753.2 |   880.0 |   590.7 |   443.7 |   358.2 |   300.3 |   260.1 |   227.6 |   207.0 |   186.0 |   172.1 |   161.0 |   152.4 |   141.2 |   214.6 |   238.6 |   224.3 |   217.0 |   203.8 |   197.6 |   190.7 |   183.9 |   177.6 |   170.3 |   161.0 |   163.7 |   154.5 |   150.5 |   149.8 |   203.4 |   203.6 |   193.5 |   194.5 |   183.9 |   184.2 |   184.2 |   175.1 |   175.0 |   174.8 |   165.4 |   165.4 |   165.6 |   175.8 |   175.2 |   175.0 |   175.7 |   184.4 |   184.1
     48 |  30000 |            NaN |   248.4 (P=34) |  1746.7 |   875.7 |   591.1 |   445.2 |   360.8 |   302.7 |   262.3 |   232.6 |   357.5 |   360.2 |   334.2 |   313.9 |   291.8 |   271.1 |   258.9 |   242.6 |   231.6 |   260.7 |   299.4 |   292.6 |   280.0 |   272.1 |   261.2 |   251.8 |   241.3 |   241.6 |   294.2 |   283.4 |   281.6 |   271.6 |   271.9 |   257.4 |   258.7 |   248.3 |   246.5 |   247.1 |   281.5 |   280.3 |   281.0 |   270.3 |   267.0 |   267.6 |   274.0 |   271.8 |   272.0 |   272.4 |   273.7 |   274.1
     64 |  30000 |            NaN |   292.6 (P=28) |  1747.8 |   876.6 |   590.9 |   446.5 |   362.1 |   302.3 |   264.5 |   445.6 |   411.6 |   368.6 |   343.3 |   319.5 |   296.1 |   273.4 |   345.6 |   363.0 |   337.8 |   330.4 |   307.0 |   295.4 |   285.8 |   309.1 |   345.1 |   332.4 |   319.7 |   321.3 |   307.5 |   293.8 |   294.4 |   342.5 |   339.3 |   325.2 |   326.6 |   313.2 |   310.3 |   307.6 |   340.0 |   344.3 |   344.7 |   328.0 |   326.4 |   331.3 |   336.6 |   334.6 |   335.6 |   339.2 |   336.9 |   337.3
     96 |  30000 |            NaN |   472.4 (P=21) |  1752.9 |   882.7 |   594.8 |   450.9 |   710.4 |   603.8 |   519.6 |   456.9 |   415.7 |   547.2 |   504.3 |   474.0 |   444.2 |   411.7 |   474.4 |   479.2 |   453.4 |   442.2 |   472.5 |   487.5 |   471.6 |   457.7 |   440.9 |   428.9 |   473.2 |   475.9 |   459.8 |   442.7 |   443.8 |   480.7 |   481.8 |   462.9 |   466.3 |   475.3 |   474.8 |   477.8 |   477.1 |   477.4 |   479.0 |   497.1 |   501.4 |   505.3 |   507.5 |   507.4 |   510.5 |   509.8 |   501.7 |   502.5
    128 |  30000 |            NaN |   547.8 (P=14) |  1754.2 |   885.3 |   597.4 |   881.7 |   721.2 |   611.4 |   528.3 |   680.1 |   621.8 |   561.6 |   659.4 |   631.7 |   590.4 |   546.4 |   608.0 |   602.2 |   570.3 |   552.6 |   606.7 |   592.7 |   576.8 |   586.7 |   612.2 |   591.8 |   612.2 |   615.3 |   616.6 |   595.0 |   598.6 |   623.4 |   633.3 |   608.6 |   611.9 |   633.1 |   636.5 |   638.2 |   653.2 |   656.1 |   657.8 |   661.8 |   665.0 |   669.8 |   670.2 |   670.4 |   677.0 |   675.7 |   665.3 |   690.3
    192 |  30000 |            NaN |   899.0 (P=10) |  1761.5 |   889.9 |  1181.7 |   898.2 |  1061.8 |   908.6 |   794.0 |   912.9 |   831.5 |   896.8 |   848.9 |   880.7 |   882.5 |   821.0 |   868.5 |   851.4 |   883.3 |   882.8 |   900.3 |   894.3 |   872.3 |   879.0 |   892.4 |   878.5 |   898.4 |   899.9 |   936.6 |   901.2 |   903.7 |   922.1 |   930.1 |   943.1 |   948.6 |   944.9 |   946.6 |   947.4 |   970.6 |   964.0 |   967.4 |   971.0 |   973.5 |   974.1 |   999.9 |  1003.5 |  1008.6 |  1009.0 |   997.8 |  1008.7
    256 |  30000 |            NaN |   1055.7 (P=7) |  1769.2 |  1763.8 |  1199.2 |  1339.9 |  1090.1 |  1214.1 |  1056.5 |  1148.7 |  1201.0 |  1121.1 |  1184.1 |  1113.0 |  1148.7 |  1096.1 |  1144.8 |  1157.8 |  1147.0 |  1121.2 |  1143.9 |  1176.6 |  1169.7 |  1174.0 |  1172.5 |  1184.4 |  1217.6 |  1218.2 |  1196.1 |  1206.9 |  1207.4 |  1223.6 |  1224.1 |  1232.5 |  1231.0 |  1262.6 |  1263.3 |  1263.4 |  1276.2 |  1279.4 |  1277.8 |  1304.3 |  1305.4 |  1308.6 |  1330.9 |  1330.7 |  1331.4 |  1338.4 |  1328.9 |  1350.0
    384 |  30000 |            NaN |   1809.6 (P=5) |  1787.0 |  1793.7 |  1797.8 |  1797.9 |  1810.8 |  1794.4 |  1587.0 |  1620.9 |  1659.3 |  1679.0 |  1708.9 |  1705.7 |  1717.7 |  1666.5 |  1686.4 |  1709.0 |  1730.2 |  1704.1 |  1764.2 |  1723.3 |  1733.8 |  1756.2 |  1775.7 |  1782.1 |  1810.4 |  1813.7 |  1822.8 |  1818.0 |  1819.6 |  1837.2 |  1838.4 |  1851.0 |  1852.5 |  1878.1 |  1877.5 |  1877.8 |  1898.5 |  1900.6 |  1901.2 |  1937.5 |  1936.0 |  1936.9 |  1957.2 |  1977.1 |  1982.9 |  1975.7 |  1991.2 |  2019.6
    512 |  30000 |            NaN |   2263.3 (P=4) |  3544.8 |  2670.9 |  2401.6 |  2263.2 |  2185.6 |  2143.0 |  2122.5 |  2291.4 |  2272.2 |  2244.3 |  2225.6 |  2230.8 |  2235.1 |  2228.8 |  2234.3 |  2289.4 |  2304.0 |  2283.2 |  2317.0 |  2323.9 |  2331.9 |  2336.8 |  2341.3 |  2373.8 |  2368.0 |  2393.8 |  2390.6 |  2423.2 |  2415.9 |  2446.0 |  2440.7 |  2470.9 |  2466.5 |  2500.2 |  2505.0 |  2505.1 |  2543.7 |  2542.2 |  2542.8 |  2580.6 |  2581.1 |  2580.9 |  2597.8 |  2624.2 |  2631.7 |  2631.1 |  2649.3 |  2686.0
     32 |  60000 |            NaN |   333.7 (P=64) |  3475.1 |  1739.2 |  1164.0 |   879.9 |   704.8 |   591.6 |   506.6 |   447.6 |   401.9 |   363.1 |   335.1 |   303.8 |   282.9 |   262.8 |   457.1 |   453.2 |   432.3 |   411.5 |   390.7 |   368.6 |   355.4 |   338.1 |   323.2 |   316.4 |   299.9 |   296.3 |   282.2 |   275.3 |   311.3 |   381.7 |   371.1 |   361.2 |   348.7 |   341.1 |   328.6 |   328.4 |   321.1 |   314.2 |   307.4 |   298.6 |   291.4 |   291.0 |   307.7 |   309.7 |   349.0 |   352.5 |   339.5 |   337.1
     48 |  60000 |            NaN |   460.7 (P=34) |  3481.9 |  1743.8 |  1169.0 |   880.8 |   708.4 |   596.3 |   514.3 |   450.8 |   748.3 |   708.8 |   653.0 |   603.6 |   561.3 |   524.0 |   487.5 |   458.5 |   438.3 |   555.5 |   579.2 |   547.8 |   527.7 |   503.5 |   484.4 |   476.5 |   457.2 |   447.5 |   551.4 |   538.9 |   526.3 |   513.2 |   504.2 |   486.5 |   472.2 |   460.6 |   523.6 |   523.6 |   526.2 |   511.2 |   512.4 |   496.6 |   480.0 |   478.5 |   492.8 |   495.3 |   523.9 |   527.3 |   506.7 |   503.7
     64 |  60000 |            NaN |   553.3 (P=28) |  3484.1 |  1745.7 |  1169.6 |   882.1 |   709.3 |   599.3 |   515.2 |   871.9 |   799.5 |   719.7 |   657.9 |   607.4 |   564.6 |   523.6 |   702.4 |   683.7 |   650.6 |   619.1 |   587.9 |   554.4 |   535.5 |   646.0 |   645.1 |   632.4 |   605.6 |   591.2 |   565.8 |   550.8 |   587.6 |   642.4 |   627.2 |   609.9 |   595.9 |   579.2 |   563.2 |   562.6 |   638.4 |   616.2 |   622.9 |   602.7 |   582.5 |   580.6 |   595.8 |   598.2 |   624.7 |   624.3 |   602.5 |   603.8
     96 |  60000 |            NaN |   886.4 (P=21) |  3488.3 |  1751.1 |  1175.6 |   953.0 |  1400.5 |  1188.6 |  1027.0 |   895.2 |   804.0 |  1066.8 |   986.3 |   908.5 |   847.1 |   791.6 |   952.9 |   912.7 |   874.1 |   832.0 |   895.4 |   920.1 |   887.1 |   853.0 |   821.9 |   806.1 |   909.1 |   889.3 |   850.4 |   830.9 |   860.6 |   906.5 |   887.5 |   862.7 |   842.0 |   869.8 |   891.5 |   891.8 |   872.6 |   859.5 |   860.5 |   908.0 |   882.8 |   881.8 |   890.9 |   892.5 |   905.9 |   906.3 |   876.0 |   878.8
    128 |  60000 |            NaN |  1053.1 (P=14) |  3493.1 |  1751.8 |  1182.9 |  1754.9 |  1415.7 |  1189.5 |  1030.2 |  1327.5 |  1198.7 |  1081.7 |  1266.9 |  1209.0 |  1125.8 |  1051.1 |  1201.5 |  1144.9 |  1097.7 |  1133.2 |  1178.9 |  1113.9 |  1076.1 |  1168.6 |  1146.9 |  1118.5 |  1139.0 |  1184.9 |  1134.0 |  1109.9 |  1132.8 |  1174.1 |  1143.8 |  1119.0 |  1187.5 |  1160.9 |  1128.5 |  1129.8 |  1193.9 |  1154.1 |  1157.4 |  1206.0 |  1174.3 |  1178.1 |  1184.1 |  1181.2 |  1182.0 |  1183.4 |  1214.6 |  1210.9
    192 |  60000 |            NaN |  1795.9 (P=10) |  3502.9 |  1764.4 |  2342.5 |  1772.4 |  2115.5 |  1779.8 |  1543.8 |  1783.8 |  1608.1 |  1799.3 |  1653.6 |  1764.2 |  1691.3 |  1582.7 |  1696.3 |  1616.7 |  1669.4 |  1668.6 |  1698.9 |  1679.1 |  1615.0 |  1692.9 |  1669.7 |  1633.7 |  1703.8 |  1687.8 |  1722.1 |  1706.4 |  1756.8 |  1791.4 |  1751.1 |  1818.9 |  1753.7 |  1715.8 |  1692.8 |  1692.6 |  1745.0 |  1708.7 |  1717.8 |  1732.8 |  1753.7 |  1753.1 |  1755.7 |  1752.0 |  1777.5 |  1775.0 |  1747.3 |  1756.3
    256 |  60000 |            NaN |   2053.1 (P=7) |  3506.1 |  3494.1 |  2366.0 |  2639.9 |  2141.4 |  2367.0 |  2054.4 |  2240.7 |  2368.4 |  2171.3 |  2270.2 |  2134.4 |  2223.4 |  2112.7 |  2196.4 |  2275.3 |  2196.2 |  2186.7 |  2176.5 |  2239.4 |  2153.1 |  2220.4 |  2139.9 |  2184.4 |  2220.5 |  2248.6 |  2250.1 |  2223.1 |  2237.1 |  2231.0 |  2230.7 |  2227.8 |  2282.5 |  2252.6 |  2255.5 |  2257.8 |  2289.3 |  2288.7 |  2275.9 |  2334.9 |  2332.4 |  2341.7 |  2333.6 |  2335.0 |  2345.6 |  2342.0 |  2362.4 |  2348.6
    384 |  60000 |            NaN |   3552.7 (P=5) |  3535.8 |  3531.7 |  3543.7 |  3548.3 |  3549.2 |  3545.0 |  3092.5 |  3157.6 |  3215.7 |  3242.4 |  3282.1 |  3317.2 |  3329.0 |  3169.1 |  3206.1 |  3233.6 |  3249.1 |  3260.4 |  3304.3 |  3218.6 |  3234.0 |  3268.5 |  3299.6 |  3257.5 |  3320.2 |  3300.0 |  3286.7 |  3311.7 |  3318.3 |  3301.1 |  3331.4 |  3341.5 |  3373.1 |  3366.0 |  3375.7 |  3388.0 |  3396.3 |  3416.8 |  3421.8 |  3455.9 |  3442.4 |  3442.1 |  3469.9 |  3474.1 |  3508.4 |  3496.5 |  3474.5 |  3496.9
    512 |  60000 |            NaN |   4440.9 (P=4) |  7002.1 |  5283.8 |  4730.8 |  4442.7 |  4285.2 |  4178.5 |  4123.2 |  4454.6 |  4400.3 |  4342.1 |  4303.2 |  4269.3 |  4244.7 |  4224.7 |  4208.1 |  4324.1 |  4340.4 |  4317.9 |  4316.6 |  4309.7 |  4323.7 |  4336.8 |  4340.1 |  4383.0 |  4411.1 |  4375.2 |  4426.8 |  4420.6 |  4425.6 |  4433.3 |  4436.0 |  4459.7 |  4474.7 |  4500.8 |  4517.9 |  4518.0 |  4516.1 |  4537.2 |  4537.5 |  4581.0 |  4581.8 |  4609.4 |  4622.3 |  4625.4 |  4646.3 |  4630.9 |  4657.6 |  4851.2
