Упакованное внимание, RTX 5090 (170 SM), 16 слоёв, KV fp8; мкс на слой

Сегмент одной последовательности
  строк |  старт |            MMA |    упакованное |     P=1 |     P=2 |     P=3 |     P=4 |     P=5 |     P=6 |     P=7 |     P=8 |     P=9 |    P=10 |    P=11 |    P=12 |    P=13 |    P=14 |    P=15 |    P=16 |    P=17 |    P=18 |    P=19 |    P=20 |    P=21 |    P=22 |    P=23 |    P=24 |    P=25 |    P=26 |    P=27 |    P=28 |    P=29 |    P=30 |    P=31 |    P=32 |    P=33 |    P=34 |    P=35 |    P=36 |    P=37 |    P=38 |    P=39 |    P=40 |    P=41 |    P=42 |    P=43 |    P=44 |    P=45 |    P=46 |    P=47 |    P=48
     48 |  16384 |            NaN |    135.6 (P=8) |   965.5 |   483.3 |   325.3 |   250.1 |   202.4 |   177.3 |   156.2 |   131.5 |   205.6 |   209.7 |   198.5 |   186.3 |   172.4 |   164.9 |   159.1 |   150.3 |   144.4 |   145.0 |   181.1 |   172.1 |   165.7 |   152.7 |   154.0 |   143.2 |   146.4 |   154.1 |   152.3 |   154.6 |   160.5 |   160.9 |   160.1 |   159.2 |   148.6 |   147.0 |   149.6 |   152.7 |   167.7 |   166.6 |   165.3 |   168.4 |   168.9 |   167.9 |   167.6 |   169.8 |   171.1 |   171.2 |   171.8 |   171.0
     64 |  16384 |            NaN |    156.9 (P=7) |   962.6 |   484.7 |   330.1 |   249.2 |   199.9 |   168.6 |   151.0 |   238.8 |   236.5 |   212.5 |   201.0 |   187.4 |   173.9 |   167.2 |   180.8 |   216.2 |   203.6 |   193.6 |   186.4 |   170.6 |   169.9 |   178.0 |   177.7 |   190.3 |   189.5 |   177.0 |   178.3 |   177.5 |   183.0 |   182.9 |   183.2 |   182.4 |   185.0 |   190.9 |   189.7 |   191.3 |   199.3 |   201.2 |   199.7 |   200.3 |   199.5 |   197.0 |   199.1 |   200.3 |   200.8 |   195.1 |   194.1 |   194.4
     96 |  16384 |            NaN |    231.9 (P=9) |   963.1 |   492.7 |   337.6 |   256.8 |   393.4 |   347.5 |   305.3 |   276.6 |   245.8 |   316.1 |   303.7 |   268.0 |   249.9 |   240.1 |   250.2 |   281.5 |   267.7 |   255.6 |   244.3 |   281.3 |   282.3 |   267.2 |   268.2 |   249.7 |   268.6 |   265.1 |   269.1 |   276.6 |   268.4 |   271.1 |   270.3 |   269.4 |   266.1 |   266.7 |   266.6 |   265.3 |   263.9 |   277.5 |   271.3 |   272.0 |   271.5 |   276.5 |   290.0 |   299.9 |   295.6 |   293.7 |   280.6 |   278.1
    128 |  16384 |            NaN |    288.9 (P=7) |   970.6 |   487.5 |   342.9 |   491.8 |   414.2 |   350.0 |   298.6 |   379.8 |   358.5 |   314.0 |   338.7 |   352.7 |   323.4 |   310.4 |   319.9 |   348.3 |   345.0 |   321.4 |   360.1 |   343.7 |   342.9 |   336.0 |   347.3 |   336.5 |   333.3 |   345.0 |   343.4 |   344.9 |   342.0 |   341.0 |   353.8 |   353.6 |   368.0 |   368.5 |   369.0 |   369.1 |   361.8 |   352.2 |   351.8 |   351.9 |   352.7 |   349.3 |   365.0 |   373.1 |   381.2 |   381.7 |   381.6 |   384.6
    192 |  16384 |            NaN |    451.1 (P=7) |   979.1 |   490.7 |   653.1 |   498.5 |   603.7 |   517.8 |   450.4 |   517.0 |   470.3 |   508.6 |   477.6 |   486.4 |   482.2 |   464.7 |   484.5 |   498.8 |   477.9 |   511.9 |   481.6 |   488.3 |   486.6 |   485.8 |   486.2 |   479.2 |   493.6 |   519.0 |   523.1 |   518.9 |   513.4 |   504.7 |   504.2 |   506.7 |   511.4 |   527.9 |   531.7 |   534.5 |   550.9 |   546.2 |   537.5 |   545.8 |   545.8 |   549.3 |   576.5 |   588.6 |   589.6 |   589.0 |   585.5 |   572.7
    256 |  16384 |            NaN |    584.0 (P=7) |   980.7 |  1011.8 |   678.1 |   764.0 |   605.4 |   665.5 |   585.6 |   629.1 |   687.6 |   640.5 |   654.9 |   631.6 |   643.6 |   614.5 |   615.8 |   643.9 |   673.9 |   643.7 |   658.2 |   651.5 |   650.4 |   644.1 |   652.4 |   673.7 |   675.1 |   687.9 |   674.0 |   676.2 |   684.5 |   693.6 |   714.9 |   718.8 |   731.6 |   708.4 |   711.7 |   714.5 |   727.8 |   746.7 |   742.4 |   748.4 |   727.5 |   731.4 |   747.1 |   776.3 |   787.7 |   789.3 |   775.5 |   761.3
    384 |  16384 |            NaN |    879.2 (P=7) |  1027.9 |  1024.1 |  1015.3 |   989.3 |   990.2 |  1026.6 |   906.6 |   927.0 |   921.4 |   934.4 |   969.3 |   974.7 |   932.7 |   924.6 |   933.4 |   952.3 |   967.7 |   984.3 |   963.1 |   977.1 |  1000.5 |  1030.5 |  1024.8 |  1011.5 |  1015.0 |  1060.8 |  1063.8 |  1044.0 |  1047.4 |  1057.6 |  1090.0 |  1081.7 |  1068.3 |  1073.9 |  1109.6 |  1114.2 |  1091.7 |  1097.8 |  1121.8 |  1146.0 |  1141.3 |  1110.1 |  1133.1 |  1183.3 |  1186.6 |  1146.4 |  1152.3 |  1199.2
    512 |  16384 |            NaN |   1215.2 (P=7) |  1960.0 |  1522.0 |  1367.4 |  1255.6 |  1214.1 |  1234.0 |  1217.5 |  1249.2 |  1235.8 |  1270.5 |  1283.0 |  1242.4 |  1246.3 |  1288.1 |  1294.4 |  1255.1 |  1313.1 |  1318.7 |  1309.4 |  1312.7 |  1348.4 |  1380.1 |  1337.7 |  1361.9 |  1419.0 |  1417.9 |  1381.0 |  1440.1 |  1458.1 |  1408.3 |  1418.9 |  1460.8 |  1447.0 |  1453.6 |  1508.7 |  1500.7 |  1475.7 |  1541.2 |  1541.6 |  1504.5 |  1560.1 |  1564.5 |  1526.8 |  1575.8 |  1616.5 |  1556.1 |  1558.3 |  1614.6
     32 |  30000 |            NaN |   145.1 (P=14) |  1745.7 |   875.0 |   606.2 |   458.0 |   371.9 |   318.4 |   268.0 |   234.8 |   208.2 |   185.9 |   172.1 |   161.6 |   150.1 |   139.5 |   214.2 |   234.7 |   221.7 |   215.4 |   200.8 |   194.8 |   193.3 |   186.8 |   180.6 |   173.9 |   167.2 |   166.6 |   157.6 |   154.0 |   154.3 |   206.7 |   207.8 |   195.0 |   193.3 |   186.3 |   181.3 |   179.5 |   169.6 |   169.7 |   170.0 |   159.4 |   160.8 |   157.7 |   170.0 |   169.8 |   170.0 |   170.4 |   178.2 |   176.9
     48 |  30000 |            NaN |   230.6 (P=17) |  1806.2 |   901.1 |   589.5 |   444.2 |   358.3 |   299.1 |   262.6 |   235.2 |   368.1 |   374.3 |   346.6 |   323.2 |   296.7 |   272.9 |   261.3 |   240.6 |   224.3 |   255.5 |   293.0 |   283.7 |   275.6 |   265.4 |   253.9 |   243.8 |   239.3 |   240.6 |   293.3 |   282.5 |   281.1 |   270.8 |   270.8 |   254.7 |   255.6 |   243.3 |   237.2 |   236.9 |   268.9 |   269.4 |   269.0 |   254.4 |   254.7 |   256.4 |   261.0 |   265.2 |   265.3 |   265.3 |   272.6 |   270.7
